Wavelength (nm)	CHL218_Chl c2, Ace (Jeffrey, 1987).abs
352.71	0.19028
356.70	0.19120
360.61	0.19258
364.24	0.19465
367.67	0.19810
371.10	0.20247
374.17	0.20799
376.69	0.21237
379.06	0.21743
381.37	0.22203
383.26	0.22571
385.21	0.22893
387.24	0.23077
389.69	0.23192
392.07	0.23284
394.30	0.23354
396.47	0.23538
398.29	0.23929
400.59	0.24573
402.83	0.25378
404.93	0.26391
406.67	0.27610
408.56	0.29106
410.24	0.30786
412.62	0.33432
415.55	0.36791
418.35	0.40473
420.44	0.43717
422.89	0.47238
425.62	0.51196
427.57	0.55130
429.81	0.60377
432.52	0.66198
434.86	0.71859
436.94	0.77243
438.76	0.82512
440.01	0.86079
440.96	0.88380
442.04	0.90957
443.37	0.93580
445.33	0.96571
446.69	0.98504
447.36	0.99194
448.15	0.99816
449.10	1.00000
450.05	0.99793
451.06	0.98987
451.97	0.97515
453.65	0.93718
455.25	0.88679
456.44	0.82765
457.70	0.76138
458.82	0.69212
459.73	0.62148
460.64	0.55683
461.47	0.48618
462.31	0.41623
463.01	0.35457
464.07	0.28876
465.04	0.24136
466.02	0.20017
467.00	0.17348
467.98	0.14771
468.75	0.13045
469.51	0.11480
470.35	0.10284
470.98	0.093404
471.89	0.084200
472.66	0.075917
473.71	0.068323
474.69	0.060960
475.67	0.054747
476.99	0.048995
478.18	0.043933
479.58	0.040021
481.26	0.036569
483.22	0.033578
485.17	0.031737
487.41	0.030127
489.93	0.028056
492.58	0.026675
495.24	0.025755
498.45	0.025525
501.11	0.025755
503.98	0.026215
507.47	0.026905
510.62	0.027826
513.62	0.029206
516.56	0.029897
519.91	0.031507
522.99	0.032888
525.78	0.034038
528.37	0.035879
531.31	0.037490
534.10	0.038640
536.62	0.039331
539.07	0.039791
541.37	0.040481
543.89	0.041171
546.27	0.042092
549.06	0.043472
551.93	0.046004
554.86	0.050145
557.73	0.054747
560.78	0.060500
563.39	0.065562
566.07	0.071315
568.49	0.076377
570.31	0.080058
571.85	0.083510
573.60	0.087882
575.41	0.092484
577.32	0.097776
579.07	0.10100
580.73	0.10238
582.47	0.10077
584.01	0.096395
585.57	0.091563
587.65	0.084660
589.67	0.077527
591.75	0.070164
593.60	0.062801
595.54	0.055898
597.22	0.050836
598.90	0.046234
600.91	0.041402
602.95	0.038410
604.98	0.036339
607.57	0.034959
610.08	0.035879
612.74	0.038410
614.56	0.041632
616.72	0.046004
618.68	0.052216
620.57	0.060500
621.95	0.067173
623.36	0.074306
624.97	0.082129
626.79	0.091103
628.01	0.096395
629.30	0.097546
630.78	0.096395
632.31	0.091563
633.99	0.083050
635.67	0.072235
637.35	0.060040
638.88	0.049685
640.35	0.040481
641.75	0.032428
643.36	0.025295
644.82	0.020002
646.85	0.016321
649.09	0.012869
651.53	0.010338
654.32	0.0082672
656.99	0.0068866
659.32	0.0059662
661.95	0.0048157
664.39	0.0038953
667.26	0.0027448
669.78	0.0018244
672.50	0.0011341
675.65	0.00081988
679.08	0.00067392
