Wavelength (nm)	CHL062_Chl a2, 90Ace (Clementson, 2019).abs
564.60	0.039070
565.50	0.040383
566.30	0.041152
567.20	0.042356
568.10	0.042018
568.90	0.045442
569.80	0.043835
570.60	0.047585
571.50	0.047142
572.30	0.049008
573.20	0.048580
574.00	0.051484
574.90	0.051531
575.70	0.054009
576.60	0.053151
577.40	0.055438
578.30	0.054400
579.10	0.057396
580.00	0.056305
580.90	0.058230
581.70	0.059244
582.60	0.059793
583.40	0.059782
584.30	0.062159
585.10	0.061455
586.00	0.064137
586.80	0.062961
587.70	0.062055
588.50	0.062592
589.40	0.062792
590.20	0.061868
591.10	0.063629
591.90	0.063396
592.80	0.064971
593.70	0.063753
594.50	0.065868
595.40	0.066100
596.20	0.068768
597.10	0.069371
597.90	0.073252
598.80	0.074630
599.60	0.079125
600.50	0.081032
601.30	0.085540
602.20	0.086806
603.00	0.091990
603.90	0.094395
604.70	0.098500
605.60	0.10226
606.50	0.10703
607.30	0.10959
608.20	0.11457
609.00	0.11613
609.90	0.11915
610.70	0.12102
611.60	0.12377
612.40	0.12447
613.30	0.12760
614.10	0.12758
615.00	0.12948
615.80	0.13006
616.70	0.13231
617.50	0.13079
618.40	0.13370
619.30	0.13189
620.10	0.13127
621.00	0.13093
621.80	0.13049
622.70	0.12818
623.50	0.12741
624.40	0.12438
625.20	0.12344
626.10	0.11868
626.90	0.11744
627.80	0.11207
628.60	0.11030
629.50	0.10524
630.30	0.10406
631.20	0.099702
632.10	0.098367
632.90	0.094144
633.80	0.094604
634.60	0.091883
635.50	0.091764
636.30	0.089408
637.20	0.092736
638.00	0.090688
638.90	0.095197
639.70	0.095825
640.60	0.10118
641.40	0.10249
642.30	0.10875
643.10	0.11353
644.00	0.12282
644.90	0.13086
645.70	0.14284
646.60	0.15431
647.40	0.17086
648.30	0.18705
649.10	0.20916
650.00	0.23038
650.80	0.25722
651.70	0.28611
652.50	0.31997
653.40	0.35519
654.20	0.39493
655.10	0.43617
655.90	0.48066
656.80	0.52341
657.70	0.56739
658.50	0.60704
659.40	0.64724
660.20	0.67764
661.10	0.70536
661.90	0.72241
662.80	0.73446
663.60	0.73493
664.50	0.72620
665.30	0.70827
666.20	0.68432
667.00	0.65078
667.90	0.61206
668.70	0.56893
669.60	0.52166
670.50	0.47309
671.30	0.41728
672.20	0.36722
673.00	0.33153
673.90	0.29870
674.70	0.26053
675.60	0.22587
676.40	0.19481
677.30	0.16626
678.10	0.14097
679.00	0.12135
679.80	0.10276
680.70	0.084657
681.50	0.072884
682.40	0.060372
683.30	0.050822
684.10	0.043011
685.00	0.036047
685.80	0.031560
686.70	0.025255
687.50	0.020438
688.40	0.016954
689.20	0.016110
690.10	0.011332
690.90	0.011988
691.80	0.0096805
692.60	0.0081689
693.50	0.0064822
694.30	0.0052369
695.20	0.0048806
696.10	0.0050459
696.90	0.0043833
697.80	0.0038334
698.60	0.0025814
699.50	0.0029777
700.30	0.0014420
701.20	0.0034982
702.00	0.0018426
702.90	0.0017191
703.70	0.00085222
704.60	0.00091391
705.40	0.00096453
706.30	0.0022028
707.10	-0.00062306
708.00	0.0018194
708.90	-0.00017034
