Wavelength (nm)	CHL127_3-Et-8-CHO PyroPhebide a ME, DCM (Tamiaki, 2016).abs
300.05	0.14000
303.76	0.14735
307.74	0.14940
311.81	0.14899
315.29	0.14613
318.47	0.14286
321.55	0.14123
324.82	0.14116
327.31	0.13674
329.99	0.12775
333.37	0.11346
337.14	0.10080
340.42	0.092633
343.70	0.088141
348.17	0.084874
353.63	0.083649
359.29	0.084466
364.36	0.086099
368.33	0.089774
371.81	0.094675
375.69	0.097998
380.06	0.10121
383.53	0.10203
386.91	0.10448
390.19	0.10897
392.87	0.11305
395.26	0.11713
397.14	0.12285
399.43	0.13429
401.12	0.15144
402.91	0.17635
405.29	0.22413
407.47	0.27517
409.86	0.31397
411.05	0.33030
411.85	0.33888
413.00	0.34255
414.53	0.33888
416.12	0.32703
417.31	0.31478
418.80	0.30131
420.69	0.29355
421.98	0.29763
423.07	0.31111
424.76	0.35766
426.72	0.44954
429.73	0.66679
431.22	0.81870
432.11	0.89915
433.20	0.96857
434.20	0.99552
435.00	1.0000
435.89	0.99389
436.38	0.97388
437.77	0.88690
440.28	0.68680
443.64	0.41524
446.62	0.23515
448.80	0.14164
450.59	0.094675
452.48	0.065273
454.07	0.046896
455.66	0.031787
457.54	0.022803
459.33	0.018719
461.42	0.014227
463.60	0.010960
466.29	0.0089186
469.46	0.0083510
473.44	0.0081019
477.71	0.0085919
482.38	0.0093270
487.15	0.012594
490.43	0.015452
493.90	0.016678
498.57	0.017086
502.94	0.020761
508.01	0.026070
511.88	0.030970
515.76	0.035054
517.90	0.037100
520.72	0.038473
524.10	0.038321
527.48	0.037504
530.56	0.033012
534.14	0.025662
536.62	0.021578
539.20	0.018719
541.39	0.017086
543.87	0.015452
546.85	0.014636
550.82	0.017086
554.20	0.019944
557.88	0.023211
561.26	0.025844
564.93	0.028730
568.41	0.030970
572.18	0.031723
575.16	0.030562
578.22	0.027567
581.02	0.023143
584.42	0.019060
586.57	0.017018
588.06	0.016337
589.88	0.017018
591.21	0.019060
593.03	0.022803
594.60	0.027227
596.51	0.033693
598.16	0.039137
599.82	0.044242
601.56	0.047645
603.71	0.050708
606.19	0.052069
608.59	0.050708
610.66	0.044923
612.65	0.037096
615.13	0.028928
617.12	0.022122
619.44	0.017698
621.92	0.013275
624.90	0.011573
628.87	0.011233
632.43	0.011233
635.25	0.011573
637.32	0.012254
639.47	0.015316
641.87	0.022463
644.69	0.035054
647.34	0.049347
649.74	0.066702
651.47	0.091544
653.30	0.12387
654.70	0.15960
656.11	0.19329
657.35	0.22460
658.51	0.24638
659.33	0.25659
660.00	0.25795
660.75	0.25591
661.49	0.24604
662.52	0.22494
663.83	0.19295
665.57	0.14361
667.37	0.097669
668.78	0.068744
669.93	0.049347
671.30	0.033352
672.83	0.022122
674.57	0.012934
676.39	0.0074149
678.30	0.0045767
680.53	0.0023848
683.10	0.0016521
685.91	0.0013639
689.97	0.0012284
693.36	0.0012284
696.34	0.0012284
699.41	0.0012284
