Wavelength (nm)	CHL232_Phe c1, Ace (Jeffrey, 1972).ems
620.83	0.040826
622.11	0.045685
623.43	0.052163
624.71	0.059451
626.10	0.069573
627.30	0.079695
628.70	0.092246
629.82	0.10601
631.02	0.12180
632.14	0.13881
633.18	0.15703
634.30	0.17970
635.42	0.20197
636.38	0.22991
637.30	0.25703
638.42	0.29671
639.46	0.33639
640.61	0.38741
642.09	0.44207
643.53	0.49470
645.29	0.54693
646.65	0.59188
648.45	0.64451
649.61	0.67812
650.49	0.69674
651.17	0.70686
652.00	0.70889
652.77	0.70686
653.35	0.70200
654.21	0.68216
655.28	0.65261
656.96	0.60362
659.16	0.54329
660.76	0.49916
662.44	0.45543
664.48	0.41008
666.24	0.37445
667.40	0.35056
668.76	0.32546
670.11	0.30562
671.43	0.29266
672.95	0.28335
674.79	0.27566
676.39	0.27323
677.71	0.27202
679.03	0.27283
680.31	0.27647
681.75	0.28376
682.95	0.29105
684.30	0.30238
685.82	0.32222
687.50	0.35178
690.14	0.40684
692.70	0.46110
695.34	0.52385
698.01	0.58742
700.53	0.65180
703.13	0.72427
705.65	0.79391
707.77	0.85303
709.57	0.89878
710.77	0.92226
711.81	0.94251
712.84	0.95992
713.72	0.97490
714.88	0.98745
715.80	0.99636
717.00	1.0000
718.04	0.99717
718.96	0.98785
719.80	0.97490
720.48	0.95870
721.16	0.93805
722.32	0.89109
723.72	0.82995
725.24	0.76355
726.71	0.69431
728.39	0.62143
730.31	0.54086
732.51	0.45381
734.39	0.38700
736.03	0.32668
737.83	0.26756
739.15	0.22626
740.94	0.17889
741.98	0.15460
743.06	0.13476
744.50	0.11532
746.14	0.095486
748.02	0.074027
750.18	0.057426
751.98	0.042446
753.86	0.029489
755.45	0.019367
756.65	0.013294
757.73	0.0092449
