Wavelength (nm)	CHL039_Phe a, Et2O (Zass, 1980).abs
658.81	0.25519
659.33	0.27203
659.85	0.28559
660.18	0.29997
660.70	0.31846
661.05	0.33777
661.45	0.35420
662.03	0.37105
662.37	0.38378
662.83	0.39857
663.46	0.41582
663.92	0.43226
664.27	0.44252
664.78	0.45484
665.24	0.46510
665.76	0.47455
666.16	0.48399
666.85	0.48932
667.50	0.49217
668.46	0.48885
669.49	0.48101
670.01	0.46495
670.58	0.44808
671.21	0.42956
671.61	0.41144
672.13	0.39005
672.65	0.36782
673.11	0.34972
673.51	0.33285
673.97	0.31104
674.54	0.29005
675.01	0.27318
675.51	0.25466
676.03	0.23902
676.61	0.21926
677.01	0.20485
677.30	0.19210
677.64	0.17729
678.10	0.16412
678.73	0.15094
679.20	0.13735
679.59	0.12624
680.11	0.11635
680.57	0.10482
681.15	0.097819
681.67	0.087104
682.35	0.078454
683.04	0.069795
683.73	0.060727
684.59	0.052886
685.45	0.046691
686.54	0.040488
687.58	0.033053
688.84	0.028490
690.39	0.025562
691.94	0.020578
693.89	0.018871
695.55	0.016350
697.51	0.015054
698.95	0.014597
700.32	0.013731
702.10	0.011618
705.20	0.010696
708.07	0.0093706
711.17	0.0088600
715.31	0.0087283
718.69	0.0090305
724.95	0.0059524
728.28	0.0058454
733.34	0.0048611
737.35	0.0047322
740.04	0.0050572
742.98	0.0037299
745.91	0.0040473
747.97	0.0035698
749.41	0.0035243
