Wavelength (nm)	CHL163_Cu Chl e6, MeOH (Inoue, 1994).abs
352.31	0.22440
355.53	0.23907
359.07	0.25659
361.62	0.27330
365.38	0.29898
368.15	0.32303
370.53	0.34952
373.63	0.38702
376.51	0.43511
378.72	0.47994
380.83	0.53048
382.38	0.58509
383.67	0.64745
384.54	0.68047
385.76	0.70737
387.31	0.73426
388.97	0.74894
391.35	0.77258
394.50	0.79907
397.44	0.82230
399.43	0.84675
401.31	0.88344
403.53	0.93846
404.58	0.96413
405.08	0.98288
405.91	0.99676
407.00	1.0000
407.79	0.99676
408.40	0.98655
409.40	0.94620
410.56	0.86183
411.80	0.75301
413.55	0.64093
415.93	0.49910
417.48	0.40250
418.94	0.33036
420.45	0.27004
422.27	0.21828
424.18	0.17549
425.51	0.15266
427.34	0.12250
429.49	0.094788
431.49	0.074817
433.91	0.058107
437.13	0.046287
439.96	0.037728
442.51	0.030799
445.11	0.025501
448.21	0.022648
452.42	0.021018
457.29	0.021018
461.72	0.021018
466.87	0.020514
471.18	0.019387
475.01	0.018269
478.94	0.017682
483.14	0.017269
487.02	0.019387
489.57	0.022240
492.33	0.025093
494.22	0.031615
496.54	0.038951
499.03	0.043026
501.25	0.045472
502.58	0.045879
504.35	0.045064
506.07	0.043434
508.22	0.040989
510.77	0.037728
513.54	0.034468
516.14	0.031615
519.30	0.026724
521.68	0.022240
524.61	0.019387
529.54	0.018516
533.97	0.020203
538.84	0.021833
542.66	0.023406
545.82	0.025909
548.92	0.027288
552.68	0.027684
555.95	0.025501
558.61	0.025093
561.71	0.025909
564.59	0.029169
567.41	0.034875
570.18	0.041396
573.00	0.049140
575.00	0.055254
577.43	0.062590
579.04	0.067481
582.47	0.073187
586.18	0.077869
589.28	0.080152
593.43	0.082153
597.03	0.083783
600.30	0.085821
603.34	0.086636
605.83	0.090305
607.27	0.095195
609.32	0.10335
610.71	0.11150
612.31	0.12250
613.86	0.13351
615.03	0.14492
616.19	0.16041
617.60	0.17834
618.90	0.19709
620.29	0.22684
622.02	0.26108
624.05	0.29735
625.77	0.32506
627.66	0.34993
628.81	0.36052
630.20	0.36949
631.58	0.37642
633.00	0.37886
634.21	0.37683
635.62	0.37030
637.23	0.35441
638.67	0.33688
640.72	0.30876
642.96	0.27004
645.37	0.22766
647.08	0.19016
648.58	0.16122
650.68	0.12862
652.67	0.10661
655.22	0.084599
658.27	0.065443
661.09	0.056069
664.63	0.045064
667.68	0.036505
670.72	0.029632
673.77	0.024278
676.81	0.020610
679.64	0.017757
681.80	0.014497
684.51	0.011637
687.78	0.0096058
690.27	0.0096058
693.04	0.0087906
695.36	0.0075679
698.19	0.0067528
699.50	0.0052270
