Wavelength (nm)	CHL233_Phe c2, Ace (Jeffrey, 1987).abs
351.22	0.33847
353.31	0.34766
355.25	0.35226
357.26	0.35889
359.06	0.36246
360.66	0.36400
363.02	0.36221
365.38	0.35966
367.18	0.35557
370.09	0.34766
372.66	0.34077
375.44	0.33311
378.07	0.32546
379.74	0.32163
382.10	0.31959
383.97	0.31984
385.50	0.32112
387.09	0.32571
389.59	0.33413
391.88	0.34638
394.38	0.36374
397.08	0.38748
399.16	0.40840
401.31	0.43086
403.67	0.45536
406.17	0.49339
408.94	0.53601
411.44	0.57685
413.59	0.61717
415.40	0.65724
417.41	0.70803
419.35	0.75780
421.08	0.80680
422.82	0.85504
424.34	0.90174
425.45	0.93237
426.56	0.95866
427.33	0.97703
428.02	0.98597
429.20	0.99771
430.50	1.0000
431.48	0.99771
432.88	0.98852
434.47	0.97219
436.21	0.94232
437.66	0.91144
439.12	0.86959
440.83	0.81089
442.26	0.75448
443.53	0.69629
444.64	0.64372
445.76	0.58400
446.49	0.53219
447.39	0.47374
448.28	0.42091
448.97	0.37395
450.15	0.32061
451.54	0.26038
452.63	0.21188
453.69	0.17488
454.73	0.15089
455.42	0.13302
456.26	0.11796
457.09	0.10444
458.27	0.091165
459.45	0.078914
461.11	0.069726
462.36	0.062580
463.61	0.056965
465.00	0.050840
466.94	0.042673
468.61	0.037058
470.48	0.032974
472.42	0.028636
474.57	0.025573
476.65	0.023276
479.01	0.022000
481.99	0.020979
485.74	0.020213
489.35	0.019539
493.16	0.019703
496.49	0.019958
499.20	0.020979
501.77	0.022766
504.75	0.025318
507.52	0.029912
511.08	0.036037
514.67	0.041907
517.51	0.047777
519.25	0.051606
521.47	0.055944
523.20	0.059517
526.26	0.065132
528.34	0.068705
530.14	0.069981
532.22	0.068961
534.79	0.065898
536.94	0.061814
539.51	0.056965
542.09	0.052116
544.34	0.046756
546.93	0.040631
549.57	0.036803
551.79	0.035016
554.01	0.033995
555.88	0.034761
557.82	0.036548
559.82	0.039100
561.91	0.045225
565.17	0.055434
567.46	0.062325
569.20	0.068195
571.21	0.072534
573.15	0.074575
575.03	0.073299
577.18	0.069726
578.98	0.065898
580.37	0.062580
582.03	0.059262
583.56	0.055689
585.29	0.055179
587.56	0.057476
589.04	0.059262
590.70	0.062325
592.37	0.066153
593.96	0.069471
595.90	0.071513
597.85	0.070237
600.28	0.067174
602.36	0.063601
604.23	0.057986
606.73	0.050840
609.09	0.043183
611.03	0.036292
613.11	0.028891
615.05	0.022766
616.86	0.018172
618.45	0.014854
620.26	0.011536
622.27	0.0084733
624.56	0.0064316
626.64	0.0049002
629.48	0.0040135
632.75	0.0030369
636.08	0.0022859
639.41	0.0018376
641.83	0.0015307
