Wavelength (nm)	CHL126_3-Et-7-CHO PyroPhebide a ME, DCM (Tamiaki, 2016).abs
300.05	0.15506
310.21	0.15479
312.20	0.15590
314.59	0.15895
316.66	0.16228
318.98	0.16699
321.13	0.17143
323.28	0.17559
324.68	0.17920
326.58	0.18114
328.16	0.18031
330.47	0.17531
332.95	0.16755
335.43	0.16006
338.16	0.15229
340.97	0.14563
342.96	0.14314
345.60	0.14175
348.00	0.14175
351.23	0.14230
355.86	0.14369
359.50	0.14480
362.39	0.14591
364.46	0.14979
366.44	0.15423
367.93	0.15756
370.50	0.16117
372.89	0.15867
375.13	0.15201
377.53	0.14425
379.43	0.13787
381.41	0.13176
383.89	0.13065
385.71	0.13260
388.19	0.13759
390.59	0.14175
393.07	0.14896
395.14	0.15673
397.04	0.16671
398.36	0.17698
399.85	0.19002
401.59	0.20971
403.08	0.23995
406.14	0.30319
408.29	0.35146
409.61	0.37559
410.77	0.39362
411.93	0.40277
413.17	0.40804
414.24	0.40915
415.73	0.40749
416.81	0.40388
418.54	0.40139
420.11	0.40361
421.68	0.41221
423.01	0.43024
424.25	0.45992
426.07	0.53454
429.33	0.71623
431.53	0.87961
432.27	0.93010
433.51	0.98114
434.34	0.99722
435.00	1.00000
435.74	0.99667
436.40	0.98224
437.56	0.92261
439.63	0.80499
443.56	0.61165
445.98	0.51068
449.82	0.36921
453.32	0.24688
455.92	0.16671
457.49	0.12455
459.23	0.092651
460.72	0.073511
461.71	0.060474
463.20	0.048823
464.85	0.038282
466.34	0.032457
467.83	0.028019
469.81	0.023303
471.96	0.020252
475.19	0.019697
478.58	0.020243
482.47	0.021084
487.26	0.023580
492.80	0.026632
497.10	0.029128
501.98	0.031070
506.20	0.033844
509.19	0.038282
512.24	0.043275
514.80	0.049655
517.20	0.056035
519.27	0.060474
521.09	0.063802
523.32	0.066299
525.47	0.066576
527.54	0.065789
530.02	0.064080
532.99	0.059919
535.39	0.055480
538.20	0.052707
540.68	0.051042
543.58	0.049100
548.62	0.048335
552.68	0.048268
555.40	0.049655
557.80	0.052429
560.53	0.055203
562.52	0.056035
564.34	0.054963
565.99	0.051320
567.81	0.047159
569.63	0.042443
571.45	0.037727
573.68	0.033567
576.16	0.029406
577.81	0.028851
579.55	0.029683
581.37	0.032734
582.78	0.037727
584.43	0.043553
586.17	0.049933
587.90	0.055758
589.64	0.059641
591.54	0.062138
593.28	0.062970
594.93	0.061860
596.67	0.058809
598.74	0.051874
601.22	0.043553
603.62	0.034399
606.18	0.028296
608.74	0.022748
610.48	0.019697
612.38	0.018033
614.71	0.017108
616.92	0.016646
618.91	0.016877
621.81	0.017108
624.22	0.018264
626.15	0.020575
628.15	0.024967
630.06	0.031902
632.08	0.041380
633.80	0.051551
635.87	0.066114
637.25	0.079752
638.00	0.089461
639.59	0.11304
641.10	0.14078
642.69	0.17476
643.45	0.18863
644.34	0.20227
645.17	0.20874
646.00	0.21059
646.99	0.20874
647.72	0.20204
648.55	0.18932
650.47	0.15141
652.48	0.11350
654.13	0.084607
655.78	0.060566
657.09	0.047852
658.54	0.037681
660.74	0.024043
662.40	0.016415
665.22	0.0097109
668.05	0.0062435
670.67	0.0039319
673.84	0.0023138
676.66	0.0013892
679.42	0.0011580
682.45	0.0010469
686.04	0.00092684
689.90	0.00092684
694.17	0.00092686
698.63	0.00092686
