Wavelength (nm)	CHL232_Phe c1, Ace (Jeffrey, 1972).abs
455.98	0.30214
457.52	0.28582
458.84	0.27006
460.59	0.25711
462.46	0.24529
464.77	0.23573
467.63	0.22897
470.71	0.22616
474.11	0.22785
478.73	0.23291
482.90	0.24417
486.86	0.25711
491.37	0.27906
494.66	0.30214
499.06	0.33365
503.13	0.36235
507.30	0.39106
511.26	0.41863
514.34	0.44846
516.86	0.48561
519.28	0.52894
520.82	0.55989
522.69	0.58747
524.56	0.60379
526.76	0.61955
528.62	0.63137
530.00	0.63531
531.37	0.63249
533.24	0.61505
535.44	0.58409
538.19	0.55708
541.15	0.52275
543.35	0.50249
545.77	0.48617
548.52	0.47660
550.60	0.46985
552.91	0.46760
555.33	0.47548
557.53	0.49855
559.07	0.54301
561.37	0.63249
563.57	0.72310
565.99	0.84073
567.42	0.89644
568.74	0.93753
570.06	0.96848
572.14	0.99380
574.00	1.00000
575.55	0.99662
576.98	0.98761
578.19	0.97411
579.62	0.95666
580.28	0.94203
582.04	0.93584
583.46	0.94259
585.00	0.95272
586.43	0.96567
588.52	0.97861
590.00	0.98142
591.38	0.97523
593.25	0.95835
595.99	0.88856
598.52	0.80246
602.70	0.62855
605.66	0.48392
607.97	0.39162
610.83	0.30270
613.25	0.23685
615.23	0.18170
617.31	0.14793
620.17	0.11416
622.70	0.096718
625.56	0.084899
628.63	0.078146
631.38	0.081522
634.13	0.089402
636.22	0.090527
638.09	0.086025
641.38	0.079271
643.80	0.067453
646.33	0.051695
648.64	0.035936
652.48	0.021867
655.89	0.013988
659.96	0.0077970
663.36	0.0061086
666.55	0.0049830
669.08	0.0049830
672.27	0.0044202
