Wavelength (nm)	CHL037_Phe a, 90Ace (Clementson, 2019).abs
626.10	0.041950
626.90	0.040466
627.80	0.040774
628.60	0.039995
629.50	0.040494
630.30	0.040438
631.20	0.040897
632.10	0.040681
632.90	0.042049
633.80	0.042831
634.60	0.043060
635.50	0.044006
636.30	0.045686
637.20	0.045803
638.00	0.048350
638.90	0.048955
639.70	0.051861
640.60	0.054246
641.40	0.056565
642.30	0.058529
643.10	0.062499
644.00	0.066700
644.90	0.072677
645.70	0.078171
646.60	0.085453
647.40	0.093160
648.30	0.10254
649.10	0.11261
650.00	0.12528
650.80	0.13801
651.70	0.15258
652.50	0.17007
653.40	0.18828
654.20	0.20779
655.10	0.23013
655.90	0.25274
656.80	0.27697
657.70	0.30194
658.50	0.32535
659.40	0.34949
660.20	0.37311
661.10	0.39337
661.90	0.41298
662.80	0.42797
663.60	0.44092
664.50	0.44811
665.30	0.45079
666.20	0.44723
667.00	0.44141
667.90	0.42809
668.70	0.41246
669.60	0.39232
670.50	0.36884
671.30	0.33806
672.20	0.30635
673.00	0.28177
673.90	0.25984
674.70	0.23413
675.60	0.20774
676.40	0.18206
677.30	0.15976
678.10	0.13697
679.00	0.11839
679.80	0.10111
680.70	0.086610
681.50	0.073574
682.40	0.060958
683.30	0.052518
684.10	0.043657
685.00	0.036624
685.80	0.031357
686.70	0.026284
687.50	0.022367
688.40	0.019112
689.20	0.017253
690.10	0.014140
690.90	0.012266
691.80	0.010878
692.60	0.0097520
693.50	0.0084391
694.30	0.0069224
695.20	0.0068140
696.10	0.0064335
696.90	0.0056954
697.80	0.0046501
698.60	0.0046610
699.50	0.0031957
700.30	0.0025858
701.20	0.0017436
702.00	0.0022777
702.90	0.0025066
703.70	0.0017368
704.60	0.0018575
705.40	0.0014137
706.30	0.0017115
707.10	0.0013705
708.00	0.0012587
708.90	0.0014539
709.70	0.0017461
710.60	0.0010649
711.40	0.0012155
712.30	0.0012997
713.10	0.0014088
714.00	0.00041510
714.80	0.0012683
715.70	0.0013085
716.50	0.0011389
717.40	0.0011009
718.20	0.0010720
719.10	0.00054874
719.90	0.00095431
