Wavelength (nm)	CHL121_3-Et-8-vinyl PyroPhebide a ME, DCM (Tamiaki, 2016).ems
620.10	0.0023265
623.72	0.0039728
627.56	0.0064423
631.05	0.0072654
634.00	0.0089118
636.56	0.013439
638.33	0.018790
639.86	0.027021
641.19	0.035664
642.51	0.046366
643.69	0.059536
644.88	0.078880
646.35	0.10934
647.97	0.15667
649.50	0.22664
651.28	0.35052
652.99	0.48634
654.96	0.68514
656.75	0.84030
657.47	0.90327
657.97	0.94320
658.62	0.97365
659.30	0.99547
660.00	1.00000
660.77	0.99506
661.55	0.97654
662.78	0.92138
664.36	0.81602
666.37	0.66620
668.49	0.52421
670.46	0.40526
671.93	0.33571
673.70	0.28055
675.87	0.22417
678.18	0.18095
680.30	0.15379
682.02	0.14103
684.40	0.12704
687.23	0.12374
690.33	0.12210
694.02	0.12333
697.96	0.12498
700.32	0.12868
703.07	0.13568
705.34	0.14268
707.75	0.14844
709.18	0.15008
710.80	0.14885
712.77	0.14514
714.88	0.13732
717.29	0.12498
719.70	0.11140
721.97	0.099048
724.33	0.089170
727.25	0.079292
729.49	0.073941
732.64	0.066121
735.10	0.059536
738.05	0.052951
740.71	0.045131
743.27	0.038957
745.78	0.032372
748.58	0.026198
751.68	0.022082
754.58	0.018292
757.09	0.016320
759.90	0.015085
763.78	0.013685
766.78	0.012862
769.98	0.012204
772.64	0.011793
775.39	0.011381
778.10	0.010970
781.10	0.010420
785.20	0.0100000
789.40	0.0100000
795.10	0.0100000
799.54	0.0100000
