Wavelength (nm)	CHL128_3-Et-12-CHO PyroPhebide a ME, DCM (Tamiaki, 2016).ems
620.29	0.0017650
624.86	0.0025729
629.29	0.0031391
633.22	0.0041307
636.86	0.0051903
640.41	0.0080621
643.46	0.011175
645.92	0.014216
647.80	0.017908
649.66	0.024062
651.18	0.030215
652.56	0.035959
653.85	0.040471
655.12	0.046625
656.30	0.051958
658.12	0.063445
659.99	0.078214
661.32	0.095444
662.89	0.11473
665.15	0.15042
667.42	0.19431
669.53	0.24970
671.89	0.32067
673.96	0.39780
676.57	0.51348
679.76	0.67184
682.22	0.78466
683.36	0.84127
684.98	0.90527
685.67	0.93358
686.60	0.95983
687.64	0.98158
689.00	1.0000
690.19	0.99634
691.23	0.98075
692.60	0.95450
694.18	0.91799
696.84	0.82363
699.49	0.72968
702.44	0.62876
704.17	0.57871
707.07	0.49625
707.80	0.47820
711.25	0.42938
712.18	0.42159
713.71	0.40477
714.45	0.40969
715.92	0.39985
717.55	0.39451
719.02	0.38877
719.81	0.39697
720.40	0.39123
721.19	0.40805
721.88	0.39492
723.60	0.39944
725.02	0.40313
726.30	0.40600
727.53	0.41092
728.57	0.42077
729.65	0.41872
730.63	0.42569
731.57	0.42200
732.90	0.43554
734.42	0.44087
735.70	0.45236
737.18	0.44826
738.16	0.46056
739.64	0.46056
740.28	0.47000
741.31	0.46590
742.54	0.47533
743.18	0.47123
744.75	0.48272
746.13	0.47123
747.21	0.48108
748.15	0.46836
749.28	0.47533
750.46	0.44908
752.72	0.44661
753.66	0.43103
755.38	0.41872
756.46	0.39944
758.04	0.39369
758.97	0.37277
760.35	0.36703
762.02	0.33462
763.20	0.33339
763.89	0.31616
765.91	0.30057
767.04	0.27472
768.47	0.27349
769.60	0.25790
770.78	0.25790
771.52	0.23616
772.79	0.22180
774.17	0.22098
775.65	0.21072
776.73	0.18775
778.40	0.19308
779.19	0.17872
780.52	0.17749
781.60	0.16642
783.08	0.16067
784.50	0.15534
785.39	0.14467
786.32	0.14960
787.65	0.13811
788.83	0.13770
789.62	0.12908
791.69	0.12703
793.11	0.12416
794.19	0.12006
794.83	0.12826
796.02	0.11267
796.85	0.12211
798.03	0.11103
800.00	0.10816
801.33	0.10406
802.26	0.11267
803.44	0.10160
804.72	0.10693
805.81	0.092983
807.33	0.10570
808.27	0.099137
809.79	0.10242
810.04	0.092573
812.10	0.094214
813.48	0.097496
813.82	0.084368
814.86	0.095444
815.94	0.081086
816.73	0.092162
818.35	0.078214
819.24	0.090932
