Wavelength (nm)	CHL220_Chl c2, Et2O (Jeffrey, 1997).abs
351.20	0.15812
355.60	0.15699
360.49	0.15775
365.19	0.16038
369.88	0.16377
374.78	0.16904
378.66	0.17576
381.82	0.18203
384.07	0.18799
386.65	0.19301
388.57	0.19678
391.40	0.20054
394.15	0.20023
397.48	0.20023
400.22	0.20023
403.47	0.20086
406.05	0.20368
408.30	0.20933
410.13	0.21749
411.88	0.22910
413.96	0.24510
416.04	0.26581
418.46	0.29373
421.04	0.32699
423.62	0.36025
426.03	0.39476
428.78	0.44120
430.78	0.47759
432.53	0.51430
434.61	0.56858
436.61	0.63886
438.77	0.72577
440.18	0.77566
441.73	0.83277
443.19	0.88046
445.10	0.93411
446.68	0.96768
448.10	0.99027
449.26	0.99843
450.10	1.00000
451.10	0.99812
452.01	0.99027
453.26	0.96956
455.01	0.93285
456.60	0.87701
458.17	0.80861
460.17	0.70758
462.59	0.58176
464.33	0.48042
465.73	0.39194
467.01	0.31663
468.33	0.24792
470.00	0.17795
471.08	0.14501
472.08	0.12148
473.41	0.097945
474.16	0.081002
475.91	0.062490
477.07	0.049312
478.32	0.040213
479.74	0.031742
481.24	0.024212
483.90	0.017623
486.48	0.013858
489.06	0.012289
491.89	0.011661
496.64	0.011975
501.05	0.012289
505.55	0.012569
511.46	0.012916
517.45	0.013858
522.95	0.015426
527.78	0.018878
532.36	0.022957
536.27	0.025780
540.19	0.027349
543.85	0.026722
547.07	0.027454
549.76	0.028290
552.59	0.030173
555.26	0.034879
557.54	0.039481
559.77	0.044188
562.12	0.048110
564.41	0.052293
566.77	0.056738
569.06	0.062229
571.53	0.069811
573.57	0.076871
575.31	0.082361
577.46	0.089944
579.47	0.095435
580.93	0.096742
582.66	0.095435
584.67	0.090990
586.48	0.084976
588.91	0.075563
591.13	0.065105
593.21	0.055169
595.36	0.047064
597.65	0.039220
600.01	0.033206
602.37	0.029284
604.45	0.027192
607.22	0.025624
609.58	0.025624
611.60	0.027715
613.75	0.030591
616.52	0.035821
618.53	0.042357
620.73	0.051247
622.21	0.059614
624.02	0.070073
625.89	0.081838
627.41	0.091513
628.53	0.095958
629.70	0.097003
630.95	0.095435
632.62	0.090728
633.87	0.083407
635.39	0.072426
637.20	0.058830
639.14	0.046018
640.81	0.033729
642.48	0.024316
644.41	0.016211
646.36	0.010720
648.58	0.0073210
650.59	0.0045932
652.46	0.0026146
654.68	0.0015688
656.90	0.00085358
658.71	0.00045348
660.79	0.00026146
663.70	0.00026147
666.96	0.00026147
