Wavelength (nm)	CHL003_Chl a, 90Ace (Clementson, 2019).abs
620.10	0.16636
621.00	0.16415
621.80	0.16381
622.70	0.15973
623.50	0.15770
624.40	0.15282
625.20	0.15090
626.10	0.14648
626.90	0.14399
627.80	0.13667
628.60	0.13453
629.50	0.13059
630.30	0.12796
631.20	0.12271
632.10	0.12145
632.90	0.11958
633.80	0.11853
634.60	0.11438
635.50	0.11596
636.30	0.11479
637.20	0.11678
638.00	0.11789
638.90	0.12105
639.70	0.12495
640.60	0.13198
641.40	0.13469
642.30	0.14306
643.10	0.15110
644.00	0.16244
644.90	0.17509
645.70	0.19098
646.60	0.20681
647.40	0.22662
648.30	0.25016
649.10	0.27785
650.00	0.30554
650.80	0.34287
651.70	0.37809
652.50	0.41948
653.40	0.46223
654.20	0.50961
655.10	0.55599
655.90	0.60620
656.80	0.65451
657.70	0.70078
658.50	0.74418
659.40	0.78317
660.20	0.81400
661.10	0.84102
661.90	0.85606
662.80	0.86456
663.60	0.86366
664.50	0.85135
665.30	0.83088
666.20	0.80346
667.00	0.76580
667.90	0.72272
668.70	0.67421
669.60	0.62520
670.50	0.56949
671.30	0.50317
672.20	0.44857
673.00	0.41111
673.90	0.36776
674.70	0.32648
675.60	0.28110
676.40	0.24708
677.30	0.21178
678.10	0.18099
679.00	0.15670
679.80	0.13105
680.70	0.11083
681.50	0.094572
682.40	0.078192
683.30	0.066889
684.10	0.059540
685.00	0.047517
685.80	0.040788
686.70	0.035024
687.50	0.029511
688.40	0.025989
689.20	0.022226
690.10	0.019107
690.90	0.016042
691.80	0.014776
692.60	0.013530
693.50	0.011802
694.30	0.011301
695.20	0.0096967
696.10	0.0077302
696.90	0.0052993
697.80	0.0052797
698.60	0.0053338
699.50	0.0067494
700.30	0.0053442
701.20	0.0034147
702.00	0.0053068
702.90	0.0019583
703.70	0.0043384
704.60	0.0015730
705.40	0.0053203
706.30	0.0012451
707.10	0.0038103
708.00	0.0022713
708.90	0.0021879
709.70	0.0016956
