Wavelength (nm)	CHL216_Chl c1, Et2O (Jeffrey, 1997).abs
350.35	0.14821
355.65	0.14821
360.25	0.14923
364.34	0.15244
368.67	0.15694
372.34	0.16032
375.34	0.16652
378.18	0.17243
381.26	0.18003
383.84	0.18679
386.68	0.19327
389.35	0.19833
391.60	0.19974
394.27	0.19918
396.93	0.19890
399.35	0.19946
401.68	0.20115
404.02	0.20763
406.10	0.21720
408.44	0.23325
410.85	0.25521
413.02	0.27971
415.94	0.31294
418.86	0.35095
421.69	0.39150
423.36	0.41459
424.86	0.43712
426.03	0.45908
428.20	0.50751
431.53	0.60184
434.03	0.67196
436.95	0.76798
439.28	0.85104
441.03	0.90905
442.70	0.95776
443.87	0.98029
444.95	0.99690
445.70	1.0000
446.54	0.99803
448.20	0.98339
449.60	0.95805
451.14	0.90905
452.89	0.82852
455.12	0.70181
457.38	0.55397
459.62	0.41487
461.63	0.28957
462.60	0.23945
463.46	0.19918
464.88	0.15835
465.71	0.13047
466.71	0.10541
467.96	0.086265
468.96	0.071341
469.96	0.058106
471.63	0.044872
473.88	0.032201
476.22	0.023472
479.72	0.016995
482.97	0.013616
486.64	0.010237
490.64	0.0088294
496.06	0.0084695
503.39	0.0082662
509.06	0.0088078
516.06	0.010237
522.40	0.013616
525.98	0.015869
529.15	0.018685
531.82	0.020937
534.32	0.023190
537.49	0.024598
541.41	0.024598
544.99	0.024598
548.33	0.025443
551.24	0.027414
554.00	0.031919
556.75	0.037269
559.27	0.040883
561.98	0.044168
564.35	0.046749
566.71	0.049800
568.58	0.053320
570.46	0.057543
571.99	0.063175
573.31	0.067164
574.70	0.072326
576.43	0.077489
577.75	0.080305
578.80	0.081243
579.70	0.080305
581.44	0.076785
583.38	0.070684
585.54	0.063175
587.90	0.054023
590.04	0.046515
592.34	0.037832
594.36	0.031731
595.96	0.028446
597.48	0.025161
599.57	0.023519
602.00	0.023753
604.36	0.024223
607.07	0.025631
609.64	0.027273
612.14	0.030324
614.09	0.033609
615.89	0.039006
617.49	0.044872
619.23	0.054258
620.55	0.065052
623.05	0.085702
624.55	0.10119
625.97	0.11104
627.01	0.11574
627.70	0.11668
628.61	0.11550
629.86	0.10964
631.32	0.097904
633.47	0.077958
635.35	0.057543
636.81	0.045576
638.13	0.033843
639.65	0.024223
641.53	0.017183
643.68	0.010847
646.05	0.0068583
648.20	0.0041487
650.42	0.0031089
653.06	0.0026346
655.98	0.0023999
659.18	0.0022855
662.02	0.0022173
664.95	0.0021651
669.44	0.0021651
