Wavelength (nm)	CHL122_3-Et-12-vinyl PyroPhebide a ME, DCM (Tamiaki, 2016).ems
620.48	0.0013465
626.14	0.0024539
630.81	0.0039386
635.34	0.0051734
639.62	0.0064081
642.77	0.0072313
645.92	0.0088513
648.13	0.012582
650.49	0.018344
652.36	0.024930
654.08	0.034397
655.46	0.045510
656.79	0.059916
658.17	0.077203
659.59	0.10272
660.87	0.13483
662.59	0.19451
664.71	0.30111
667.61	0.52049
669.97	0.70694
671.15	0.80696
672.04	0.86953
673.12	0.92674
674.20	0.97448
675.20	0.99671
676.00	1.0000
676.80	0.99671
677.45	0.98066
678.78	0.92962
680.80	0.82672
683.26	0.68101
685.77	0.54189
687.68	0.45381
690.00	0.37026
691.52	0.32540
693.49	0.28588
695.75	0.24513
697.23	0.22579
699.74	0.20768
702.59	0.19327
705.99	0.18504
709.38	0.18134
711.45	0.18298
714.05	0.18833
716.51	0.19780
719.02	0.20933
720.94	0.21961
722.56	0.23114
724.68	0.24102
726.01	0.24637
727.29	0.25007
729.21	0.24719
731.37	0.23855
733.29	0.22620
735.31	0.21015
738.41	0.18339
740.95	0.15993
743.67	0.14182
746.18	0.12701
748.80	0.11466
752.38	0.097371
755.82	0.083377
759.81	0.067736
763.74	0.055388
767.68	0.044687
771.17	0.038101
774.27	0.032440
778.01	0.029046
781.85	0.026576
786.42	0.024518
790.16	0.023284
794.15	0.021637
796.41	0.020402
798.77	0.019168
802.02	0.017933
805.02	0.016698
807.97	0.015463
810.97	0.014640
815.10	0.013817
819.38	0.013405
