Wavelength (nm)	CHL095_3,7-di-CH2OH Chl a, MeOH (Sawicki, 2019).abs
370.46	0.47941
373.31	0.49115
375.83	0.50289
378.81	0.51378
381.52	0.52468
384.18	0.53390
387.09	0.54229
389.28	0.54648
391.60	0.55151
393.39	0.55738
395.44	0.56872
397.10	0.58504
399.02	0.60348
400.41	0.62947
402.20	0.66552
404.72	0.73174
406.11	0.77869
407.04	0.80635
407.99	0.82885
409.62	0.84575
411.61	0.85590
413.51	0.85353
415.00	0.85050
416.72	0.84701
418.26	0.84421
420.12	0.84282
421.74	0.84631
423.40	0.85234
425.01	0.86691
426.40	0.89731
427.76	0.92315
429.03	0.94970
430.25	0.97206
431.52	0.98812
432.79	0.99720
434.00	1.00000
435.30	0.98952
436.32	0.97066
437.92	0.92176
439.41	0.86308
441.02	0.79182
442.89	0.68214
444.33	0.58294
445.82	0.50191
447.37	0.41109
448.75	0.34822
450.51	0.28185
452.78	0.22317
454.82	0.19034
457.20	0.15960
459.85	0.13677
461.89	0.12048
463.93	0.11140
466.81	0.10232
469.84	0.095696
473.43	0.089743
476.75	0.085552
480.50	0.079963
484.37	0.075334
488.40	0.070183
492.60	0.066690
497.57	0.064594
502.26	0.062862
506.24	0.061800
510.44	0.061101
515.30	0.060403
522.42	0.061101
528.22	0.060403
535.84	0.059207
543.46	0.059704
549.92	0.061273
556.88	0.063774
562.51	0.067721
567.87	0.072489
573.67	0.080293
577.81	0.086251
582.51	0.092538
586.42	0.098825
590.42	0.11210
592.67	0.12048
595.10	0.13445
597.64	0.14773
600.80	0.15751
604.27	0.16519
608.24	0.16868
612.72	0.17008
616.42	0.17008
620.56	0.17008
624.92	0.17008
627.90	0.17008
630.83	0.17218
632.76	0.17637
634.53	0.18755
636.83	0.21572
638.63	0.24716
640.70	0.28849
642.31	0.33681
644.42	0.42006
646.82	0.51611
649.22	0.61333
650.59	0.65874
651.65	0.68203
652.39	0.69658
653.00	0.70007
653.86	0.69774
654.92	0.68261
656.21	0.65117
658.28	0.56967
660.90	0.44975
663.48	0.32866
665.13	0.25997
667.02	0.19535
669.00	0.14877
670.75	0.11210
672.91	0.080662
674.75	0.061451
676.64	0.042822
678.80	0.027104
680.72	0.020700
683.64	0.013714
686.58	0.010098
690.22	0.0066062
694.87	0.0037498
700.53	0.0024697
706.09	0.0020711
710.00	0.0020711
715.00	0.0020711
720.00	0.0020711
