Wavelength (nm)	CHL121_3-Et-8-vinyl PyroPhebide a ME, DCM (Tamiaki, 2016).abs
301.33	0.12009
304.64	0.12718
307.25	0.13428
309.76	0.14137
312.16	0.15145
314.17	0.16041
315.88	0.16713
317.68	0.17385
319.39	0.17534
321.19	0.17310
323.30	0.16190
325.51	0.14921
327.51	0.13913
331.33	0.13017
333.54	0.12868
336.34	0.13017
339.05	0.13428
343.57	0.14697
348.18	0.16489
353.30	0.19326
357.92	0.22201
362.63	0.25822
369.25	0.31422
372.97	0.34035
375.68	0.36275
377.58	0.37582
380.49	0.38440
382.80	0.39075
385.01	0.40120
386.81	0.41763
388.52	0.44712
390.63	0.49043
393.64	0.55688
395.94	0.60653
397.25	0.63379
398.25	0.64797
399.56	0.65880
400.96	0.66141
402.46	0.65992
403.67	0.65730
405.68	0.65992
406.68	0.66925
408.08	0.69277
410.70	0.76594
413.70	0.88466
415.01	0.93357
416.31	0.98135
417.01	0.99442
418.00	1.0000
419.00	0.99404
419.72	0.98023
421.83	0.89847
424.34	0.75624
427.95	0.48371
431.20	0.29145
433.78	0.16937
435.48	0.12308
437.78	0.086490
439.09	0.069318
440.99	0.055131
443.30	0.043931
445.61	0.034225
448.52	0.028625
452.93	0.024518
458.35	0.022279
463.27	0.023399
467.68	0.027132
472.70	0.029745
476.51	0.031238
480.73	0.032732
486.04	0.033105
490.26	0.034225
493.27	0.037958
495.98	0.047291
498.08	0.055504
500.69	0.065958
503.40	0.074171
505.71	0.080144
508.12	0.082011
510.93	0.079702
513.54	0.071557
516.14	0.060731
519.15	0.050278
522.67	0.040571
525.27	0.034972
528.18	0.031612
530.29	0.030649
532.80	0.033105
535.61	0.039078
537.52	0.043931
539.22	0.048038
541.43	0.049531
543.84	0.049158
547.05	0.046171
551.08	0.039825
554.57	0.034972
558.08	0.030492
562.40	0.025638
566.61	0.020039
569.62	0.016305
572.93	0.015185
576.24	0.014439
579.96	0.015559
583.57	0.019292
586.68	0.023399
589.49	0.030492
591.90	0.039825
594.20	0.049531
596.71	0.060731
599.12	0.066704
601.33	0.067824
603.34	0.067245
606.45	0.061851
609.46	0.053265
612.72	0.042438
615.88	0.034598
618.89	0.029372
621.90	0.028252
625.01	0.028625
629.12	0.030865
633.45	0.033478
636.70	0.039452
638.85	0.048785
641.16	0.062598
642.97	0.078651
645.02	0.10404
647.58	0.14772
649.89	0.19811
652.45	0.26867
654.20	0.32430
655.45	0.36051
656.31	0.37059
657.00	0.37395
657.92	0.37096
658.70	0.36200
660.20	0.32206
662.20	0.25598
664.34	0.18505
666.95	0.10665
668.90	0.068571
670.76	0.044305
672.77	0.026758
674.97	0.015932
677.08	0.0099588
680.09	0.0062256
683.40	0.0032390
686.31	0.0021190
690.22	0.0013723
694.04	0.0013723
700.06	0.0013723
706.58	0.0013723
714.10	0.0013723
720.83	0.0013723
