Wavelength (nm)	CHL098_7-CH2OH Chl a, MeOH (Sawicki, 2019).abs
370.18	0.41684
372.24	0.43623
373.36	0.44752
374.87	0.46263
376.69	0.47770
378.13	0.48793
380.27	0.50420
382.66	0.51745
385.44	0.52950
387.98	0.53425
390.83	0.53673
393.07	0.53643
395.06	0.53853
397.28	0.54817
398.95	0.56203
400.86	0.58492
402.85	0.61565
404.60	0.65481
406.67	0.70722
408.33	0.75059
409.85	0.79337
411.20	0.82530
412.71	0.85241
414.22	0.86566
416.05	0.87530
418.19	0.87347
419.94	0.86506
421.29	0.86024
422.72	0.86024
424.71	0.86566
426.30	0.87831
428.13	0.90290
429.32	0.91747
430.58	0.93615
431.78	0.95482
433.38	0.97801
434.89	0.99526
436.00	1.0000
437.43	0.99579
438.70	0.98193
439.58	0.96446
440.73	0.93675
442.36	0.87590
444.03	0.79638
445.86	0.69216
448.40	0.53613
450.95	0.38310
452.46	0.29274
454.13	0.22045
455.48	0.17346
457.07	0.13189
458.34	0.10056
459.93	0.078269
461.60	0.060799
463.82	0.045135
466.21	0.032501
469.07	0.024159
472.25	0.021640
475.75	0.020198
479.33	0.019832
483.62	0.019832
487.91	0.020154
492.60	0.021224
497.93	0.023447
503.41	0.025857
509.93	0.028869
516.37	0.033689
522.41	0.038508
528.46	0.041520
535.93	0.045453
542.76	0.049352
548.97	0.053569
555.17	0.058608
560.97	0.064413
566.22	0.072245
571.07	0.080077
575.68	0.086704
580.37	0.095740
584.74	0.10658
588.56	0.11562
592.45	0.12859
596.03	0.14213
599.19	0.15584
602.04	0.16980
604.69	0.18248
607.32	0.19721
609.94	0.20843
612.01	0.21201
614.71	0.21322
617.07	0.21241
620.05	0.21091
622.30	0.21040
624.69	0.20940
627.40	0.20626
630.32	0.20789
633.03	0.21040
635.29	0.21643
637.14	0.22396
638.86	0.23249
641.05	0.25207
642.90	0.27266
644.63	0.30830
646.55	0.36001
648.27	0.41423
650.26	0.50058
653.56	0.63011
656.02	0.72047
658.08	0.78272
658.94	0.79578
660.00	0.80080
661.19	0.79427
662.18	0.77268
663.38	0.74055
665.03	0.68282
666.62	0.62157
668.28	0.54677
669.74	0.46694
671.66	0.37407
673.18	0.30730
675.10	0.23601
677.55	0.15518
679.08	0.11703
680.60	0.091925
682.39	0.070337
684.51	0.048248
686.36	0.032685
688.28	0.020596
690.71	0.012115
693.45	0.0066252
696.63	0.0039927
700.28	0.0027749
704.12	0.0020902
707.83	0.0020902
712.00	0.0020902
715.71	0.0020902
717.85	0.0020902
720.00	0.0020902
