Wavelength (nm)	CHL012_Chl b, 90Ace (Clementson, 2019).abs
621.80	0.067403
622.70	0.067557
623.50	0.070058
624.40	0.071627
625.20	0.075525
626.10	0.078462
626.90	0.083574
627.80	0.087016
628.60	0.094224
629.50	0.099644
630.30	0.10816
631.20	0.11657
632.10	0.12784
632.90	0.13905
633.80	0.15358
634.60	0.16617
635.50	0.18452
636.30	0.20003
637.20	0.21818
638.00	0.23610
638.90	0.25609
639.70	0.27953
640.60	0.29934
641.40	0.30931
642.30	0.32268
643.10	0.33463
644.00	0.34566
644.90	0.35160
645.70	0.35453
646.60	0.35452
647.40	0.34945
648.30	0.34112
649.10	0.33098
650.00	0.31516
650.80	0.30060
651.70	0.28206
652.50	0.26244
653.40	0.24195
654.20	0.22121
655.10	0.20211
655.90	0.18239
656.80	0.16182
657.70	0.14650
658.50	0.12990
659.40	0.11559
660.20	0.10250
661.10	0.091126
661.90	0.080218
662.80	0.070597
663.60	0.061985
664.50	0.054269
665.30	0.047376
666.20	0.042065
667.00	0.035580
667.90	0.031445
668.70	0.027350
669.60	0.024882
670.50	0.020072
671.30	0.018591
672.20	0.015439
673.00	0.013329
673.90	0.011796
674.70	0.012618
675.60	0.0077398
676.40	0.0085690
677.30	0.0073564
678.10	0.0064638
679.00	0.0060574
679.80	0.0054312
680.70	0.0039344
681.50	0.0046381
682.40	0.0028745
683.30	0.0034494
684.10	0.0023478
685.00	0.0019125
685.80	0.0011369
686.70	0.0021090
687.50	4.9288e-05
688.40	0.0013155
689.20	0.00079774
690.10	0.00088138
690.90	0.0011762
691.80	0.00085582
692.60	-0.00037333
693.50	0.00070005
694.30	0.00034466
695.20	0.00013946
696.10	-0.0017767
696.90	-0.00015567
697.80	-0.0022388
698.60	0.00038580
699.50	-0.00023219
