Wavelength (nm)	CHL078_Chllide a, 90Ace (Clementson, 2019).abs
632.10	0.10550
632.90	0.10341
633.80	0.10362
634.60	0.10248
635.50	0.10249
636.30	0.10180
637.20	0.10228
638.00	0.10478
638.90	0.10689
639.70	0.10864
640.60	0.11322
641.40	0.11797
642.30	0.12253
643.10	0.12797
644.00	0.13673
644.90	0.14572
645.70	0.15552
646.60	0.16810
647.40	0.18179
648.30	0.19703
649.10	0.21620
650.00	0.23695
650.80	0.26021
651.70	0.28511
652.50	0.31399
653.40	0.34467
654.20	0.37799
655.10	0.41207
655.90	0.44751
656.80	0.48447
657.70	0.52086
658.50	0.55700
659.40	0.58997
660.20	0.62114
661.10	0.64976
661.90	0.67271
662.80	0.69038
663.60	0.70108
664.50	0.70531
665.30	0.70219
666.20	0.69245
667.00	0.67561
667.90	0.64852
668.70	0.62051
669.60	0.58701
670.50	0.54712
671.30	0.50276
672.20	0.46448
673.00	0.42736
673.90	0.38974
674.70	0.34834
675.60	0.31101
676.40	0.27642
677.30	0.24196
678.10	0.21201
679.00	0.18582
679.80	0.16102
680.70	0.14016
681.50	0.12176
682.40	0.10470
683.30	0.092632
684.10	0.080602
685.00	0.071187
685.80	0.062320
686.70	0.056034
687.50	0.051303
688.40	0.045817
689.20	0.041800
690.10	0.038685
690.90	0.033849
691.80	0.033431
692.60	0.030474
693.50	0.028813
694.30	0.026387
695.20	0.023883
696.10	0.023568
696.90	0.021549
697.80	0.020644
698.60	0.017710
699.50	0.017823
700.30	0.017467
701.20	0.015359
702.00	0.015424
702.90	0.011678
703.70	0.014114
704.60	0.010280
705.40	0.010428
706.30	0.010795
707.10	0.0086644
708.00	0.0079707
708.90	0.0072313
709.70	0.0076089
710.60	0.0060080
711.40	0.0061443
712.30	0.0035372
713.10	0.0055488
714.00	0.0041194
714.80	0.0030166
715.70	0.0041567
716.50	0.0043009
717.40	0.0036043
718.20	0.0026145
719.10	0.0015837
719.90	0.0026609
720.80	0.0012413
721.70	0.0029902
722.50	0.0016945
723.40	0.0035636
724.20	0.0024359
725.10	0.0014964
725.90	0.0018641
726.80	0.00065146
727.60	0.0010739
728.50	0.0038703
729.30	0.0014978
730.20	0.00010945
731.00	0.0013309
731.90	0.0019725
732.70	0.00044513
733.60	0.0024253
734.50	0.0014115
735.30	0.00079703
736.20	0.0010498
737.00	0.0041731
737.90	0.0013059
738.70	0.0014579
739.60	0.00093916
